"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"16/10/2025 20:15 - 16/10/2025 20:30","Belgium (BE)","10288.62","10198.33"
"16/10/2025 20:30 - 16/10/2025 20:45","Belgium (BE)","10232.49","10122.41"
"16/10/2025 20:45 - 16/10/2025 21:00","Belgium (BE)","10105.89","10067.14"
"16/10/2025 21:00 - 16/10/2025 21:15","Belgium (BE)","9938.74","9757.30"
"16/10/2025 21:15 - 16/10/2025 21:30","Belgium (BE)","9736.81","9631.43"
"16/10/2025 21:30 - 16/10/2025 21:45","Belgium (BE)","9762.31","9522.18"
"16/10/2025 21:45 - 16/10/2025 22:00","Belgium (BE)","9645.76","9463.76"
"16/10/2025 22:00 - 16/10/2025 22:15","Belgium (BE)","9480.41","9331.69"
"16/10/2025 22:15 - 16/10/2025 22:30","Belgium (BE)","9384.37","9310.32"
"16/10/2025 22:30 - 16/10/2025 22:45","Belgium (BE)","9297.53","9198.62"
"16/10/2025 22:45 - 16/10/2025 23:00","Belgium (BE)","9295.38","9106.73"
"16/10/2025 23:00 - 16/10/2025 23:15","Belgium (BE)","9063.52","9026.62"
"16/10/2025 23:15 - 16/10/2025 23:30","Belgium (BE)","8966.75","8880.40"
"16/10/2025 23:30 - 16/10/2025 23:45","Belgium (BE)","8791.40","8796.14"
"16/10/2025 23:45 - 17/10/2025 00:00","Belgium (BE)","8753.73","8709.08"
"17/10/2025 00:00 - 17/10/2025 00:15","Belgium (BE)","8596.42","8624.86"
"17/10/2025 00:15 - 17/10/2025 00:30","Belgium (BE)","8398.65","8486.55"
"17/10/2025 00:30 - 17/10/2025 00:45","Belgium (BE)","8338.16","8442.05"
"17/10/2025 00:45 - 17/10/2025 01:00","Belgium (BE)","8451.13","8392.62"
"17/10/2025 01:00 - 17/10/2025 01:15","Belgium (BE)","8186.79","8177.56"
"17/10/2025 01:15 - 17/10/2025 01:30","Belgium (BE)","8053.35","8098.34"
"17/10/2025 01:30 - 17/10/2025 01:45","Belgium (BE)","8169.31","8033.07"
"17/10/2025 01:45 - 17/10/2025 02:00","Belgium (BE)","8120.45","8013.01"
"17/10/2025 02:00 - 17/10/2025 02:15","Belgium (BE)","7991.28","7809.54"
"17/10/2025 02:15 - 17/10/2025 02:30","Belgium (BE)","8124.98","7813.84"
"17/10/2025 02:30 - 17/10/2025 02:45","Belgium (BE)","8082.71","7819.79"
"17/10/2025 02:45 - 17/10/2025 03:00","Belgium (BE)","8021.66","7837.57"
"17/10/2025 03:00 - 17/10/2025 03:15","Belgium (BE)","7852.16","7765.67"
"17/10/2025 03:15 - 17/10/2025 03:30","Belgium (BE)","7831.19","7748.40"
"17/10/2025 03:30 - 17/10/2025 03:45","Belgium (BE)","7908.61","7743.39"
